,Título,Unidad Académica,Área temática,Propósito general del curso,Resultados de aprendizaje esperados,Nivel,Curso individual o programa,proposito_norm,ruta_img
55,Analisis  estadistico  de datos,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,MACC,"El estudio de muchos fenomenos reales requiere considerar multiples variables y sus posibles relaciones. Considerar multiples variables o dimensiones suele ser una tarea dificil, asi como extraer informacion util de estos conjuntos de datos multidimensionales. Este curso presenta un conjunto de herramientas estadisticas para analizar datos multidimensionales y construir modelos con aplicacion en un amplio espectro de areas. El curso iniciara con fundamentos de analisis multidimensional y la distribucion normal multivariada. Luego se concentrara en la inferencia del vector de medias y el modelo de regresion multiple. La reduccion de dimensionalidad es el siguiente tema, seguido del analisis de correlaciones y metodos de clasificacion y agrupamiento. El curso termina con el analisis de varianza, de correspondencias y tablas de contingencia.",X,,Programa,estudio fenomenos reales requiere considerar multiples variables posibles relaciones considerar multiples variables dimensiones suele ser tarea dificil asi extraer informacion util conjuntos datos multidimensionales curso presenta conjunto herramientas estadisticas analizar datos multidimensionales construir modelos aplicacion amplio espectro areas curso iniciara fundamentos analisis multidimensional distribucion normal multivariada luego concentrara inferencia vector medias modelo regresion multiple reduccion dimensionalidad siguiente tema seguido analisis correlaciones metodos clasificacion agrupamiento curso termina analisis varianza correspondencias tablas contingencia,/fondoCartas/img8.jpg
56,Probabilidad y estadistica 1,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,MACC,"La asignatura de probabilidad y estadistica es indispensable como herramienta para el planteamiento y solucion de problemas, y como complemento de otras areas del saber. Ofrece al estudiante la formacion basica necesaria conceptual y practica para la recol eccion, organizacion manejo de los datos e informacion, su analisis e interpretacion, su modelamiento y su aplicacion, contribuyendo en la toma de decisiones en los campos de accion propios del egresado Rosarista .",X,,Programa,asignatura probabilidad estadistica indispensable herramienta planteamiento solucion problemas complemento areas saber ofrece estudiante formacion basica necesaria conceptual practica recol eccion organizacion manejo datos informacion analisis interpretacion modelamiento aplicacion contribuyendo toma decisiones campos accion propios egresado rosarista,/fondoCartas/img3.jpg
57,Fisica II,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,ING,"El curso presenta los conceptos basicos de termodinamica y Electromagnetismo, mostrando sus principales aplicacion en situaciones sencillas y su uso cotidiano en diferentes sistemas tecnologicos.",X,,Programa,curso presenta conceptos basicos termodinamica electromagnetismo mostrando principales aplicacion situaciones sencillas uso cotidiano diferentes sistemas tecnologicos,/fondoCartas/img9.jpg
58,Termodinamica,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,ING,"Termodinamica es el primer curso de una serie de cuatro asignaturas obligatorias en al area de Termofluidos. Los conceptos de termodinamica han sido parte fundamental en programas de ingenieria y sus diferentes ramas. Este curso se centra en el entendimiento de la primera y segunda ley de la termodinamica para el analisis de sistemas macroscopicos basicos (cerrados y abiertos) y su respectiva interaccion con el entorno. Se estudiaran las distintas formas de energia y procesos de transferencia (calor y trabajo). Adicionalmente, se determinaran y analizaran las propiedades de sustancias puras haciendo uso de tablas y algunas herramientas computacionales. Finalmente, el curso se complementara con el estudio de diversos ciclos de potencia (ciclo de Otto, ciclo Diesel y ciclo de Brayton).",X,,Programa,termodinamica primer curso serie cuatro asignaturas obligatorias area termofluidos conceptos termodinamica parte fundamental programas ingenieria diferentes ramas curso centra entendimiento primera segunda ley termodinamica analisis sistemas macroscopicos basicos (cerrados abiertos) respectiva interaccion entorno estudiaran distintas formas energia procesos transferencia (calor trabajo) adicionalmente determinaran analizaran propiedades sustancias puras haciendo uso tablas herramientas computacionales finalmente curso complementara estudio diversos ciclos potencia (ciclo otto ciclo diesel ciclo brayton),/fondoCartas/img9.jpg
59,Introduccion a la vision por computado,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,MACC,"Este curso introductorio de vision por computadora aborda tecnicas estandares del procesamiento de imagenes como filtrado, deteccion de bordes, seguimiento de objetos, y tecnicas mas novedosas que involucran sistemas basados en inteligencia computacional. Al final de este curso los estudiantes estaran en la capacidad comprender los conceptos basicos del procesamiento digital de imagenes, realizar transformaciones de tamano y color, disenar e implementar filtrados y convoluciones, comprender y aplicar las redes neuronales convolucionales para clasificar, detectar objetos, y segmentar.",X,,Programa,curso introductorio vision computadora aborda tecnicas estandares procesamiento imagenes filtrado deteccion bordes seguimiento objetos tecnicas mas novedosas involucran sistemas basados inteligencia computacional final curso estudiantes estaran capacidad comprender conceptos basicos procesamiento digital imagenes realizar transformaciones tamaño color diseñar implementar filtrados convoluciones comprender aplicar redes neuronales convolucionales clasificar detectar objetos segmentar,/fondoCartas/img2.jpg
60,Modelos Matematicos Aplicados en Cadenas de Suministro,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,ING,"El modelamiento matematico de cadenas de suministro permite abordar las diferentes decisiones logisticas relacionadas con el aprovisionamiento, seleccion de proveedores, la localizacion de instalaciones, gestion de inventarios, y distribucion y transporte. Proporciona herramientas cuantitativas y de analisis para la toma de decisiones estrategicas, tacticas y operativas. La aplicacion de modelos matematicos facilita la asignacion de recursos, reduccion de costo s y mejoramiento de los procesos en las cadenas de suministro. En un entorno empresarial impulsado por la transformacion digital, el modelamiento matematico tambien facilita el aprovechamiento de los datos y soporta la toma de decisiones en tiempo real. El conocimiento y la aplicacion del modelamiento matematico de cadenas de suministro permite la optimizacion de las operaciones logisticas y contribuye al exito de las organizaciones.",X,,Programa,modelamiento matematico cadenas suministro permite abordar diferentes decisiones logisticas relacionadas aprovisionamiento seleccion proveedores localizacion instalaciones gestion inventarios distribucion transporte proporciona herramientas cuantitativas analisis toma decisiones estrategicas tacticas operativas aplicacion modelos matematicos facilita asignacion recursos reduccion costo mejoramiento procesos cadenas suministro entorno empresarial impulsado transformacion digital modelamiento matematico tambien facilita aprovechamiento datos soporta toma decisiones tiempo real conocimiento aplicacion modelamiento matematico cadenas suministro permite optimizacion operaciones logisticas contribuye exito organizaciones,/fondoCartas/img6.jpg
61,Logica teoria de numeros y conjuntos,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,MACC,"Este curso es la puerta de entrada a las matematicas discretas y el analisis logico matematico propio de la computacion digital. Se espera que el estudiante maneje con fluidez los distintos tipos de demostraciones en matematicas, las bases de la teoria de conjuntos, y algunas bases de la teoria d e numeros.",X,,Programa,curso puerta entrada matematicas discretas analisis logico matematico propio computacion digital espera estudiante maneje fluidez distintos tipos demostraciones matematicas bases teoria conjuntos bases teoria numeros,/fondoCartas/img8.jpg
62,Analisis de Sistemas de Potencia,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,ING,"La expansion de los sistemas de potencia implica la conexion de un gran numero de subsistemas vecinos; estas operaciones requieren planeacion, operacion y control ajustados a los sistemas de gran escala. Un adecuado analisis de l sistema de potencia es indispensable durante las etapas de diseno, seleccion de los esquemas de operacion y respuesta a fallas. En este curso se estudiaran los principios fundamentales para el analisis de sistemas de potencia y los metodos para el analisis y diseno en estado estable bajo condiciones simetricas y asimetricas. El curso Analisis de Sistemas de Potencia es de caracter teorico y practico ; ademas, permitira implementar modelos de los componentes de un sistema electrico, plantear modelos para solucionar problemas de flujos, estabilidad, control y fallas.",X,,Programa,expansion sistemas potencia implica conexion gran numero subsistemas vecinos operaciones requieren planeacion operacion control ajustados sistemas gran escala adecuado analisis sistema potencia indispensable etapas diseño seleccion esquemas operacion respuesta fallas curso estudiaran principios fundamentales analisis sistemas potencia metodos analisis diseño estable bajo condiciones simetricas asimetricas curso analisis sistemas potencia caracter teorico practico ademas permitira implementar modelos componentes sistema electrico plantear modelos solucionar problemas flujos estabilidad control fallas,/fondoCartas/img5.jpg
63,El cerebro y las emociones en el lenguaje,,Medicina y salud Comunicaciones,"Comprender como se procesa el contenido emocional de los estimulos que captamos con nuestros sentidos, para que puedas, de manera mas consiente, producir, modular e interpretar el lenguaje emocional en la interaccion con otros.",X,Introductorio,,comprender procesa contenido emocional estimulos captamos sentidos puedas manera mas consiente producir modular interpretar lenguaje emocional interaccion,/fondoCartas/img2.jpg
64,Fundamentos de fotografia documental,,Arte y cultura,"Construir herramientas teoricas y tecnicas para emplear la fotografia como documento que puede parte de la investigacion en las ciencias sociales, artes y las humanidades. El curso une un desenvolvimiento en torno la semiotica, la tecnica, la teoria y el uso de la fotografia con fines documentales. ",X,Introductorio,,construir herramientas teoricas tecnicas emplear fotografia documento puede parte investigacion ciencias sociales artes humanidades curso une desenvolvimiento torno semiotica tecnica teoria uso fotografia fines documentales,/fondoCartas/img7.jpg
65,Introduccion a las finanzas: Principios de valoracion,,Economía y finanzas ,"Comprender los principios basicos de valor del dinero en el tiempo y como usarlos para la toma de decisiones financieras y evaluacion de proyectos. Fortalecer tus competencias en el uso de funciones basicas de MS Excel para valorar flujos de efectivo en una linea de tiempo, solucionar problemas basicos de matematicas financieras y resolver ecuaciones de valor equivalente, abriendo con ello nuevos espacios y oportunidades laborales como empleado y como independiente.",X,Intermedio ,,comprender principios basicos valor dinero tiempo usarlos toma decisiones financieras evaluacion proyectos fortalecer competencias uso funciones basicas excel valorar flujos efectivo linea tiempo solucionar problemas basicos matematicas financieras resolver ecuaciones valor equivalente abriendo ello nuevos espacios oportunidades laborales empleado independiente,/fondoCartas/img8.jpg
66,Fundamentos de anatomia y tecnica quirurgica basica,,Medicina y salud," Reconocer como esta constituido el cuerpo humano a traves de casos clinicos seleccionados basados en hechos historicos reales, asi como las bases anatomicas de algunos procedimientos que se usan en primeros auxilios y las tecnicas para aplicarlos correctamente con el fin de salvar vidas.",X,Introductorio,,reconocer constituido cuerpo humano traves casos clinicos seleccionados basados hechos historicos reales asi bases anatomicas procedimientos usan primeros auxilios tecnicas aplicarlos correctamente fin salvar vidas,/fondoCartas/img4.jpg
67,Produccion y consumo responsable: ODS 12,,Ciencias humanas Estudios socioambientales,"Aprender las formas de producir y consumir sanamente a partir de un enfoque agroecologico, contribuyendo asi al cuidado del planeta.",X,Introductorio,,aprender formas producir consumir sanamente partir enfoque agroecologico contribuyendo asi cuidado planeta,/fondoCartas/img4.jpg
68,Competencias para alinear las emociones con la mente,,Desarrollo personal Salud y seguridad,"Identificar los niveles de vibraciones bajas y como neutralizar las emociones negativas, a reconocer las vibraciones altas y aplicar herramientas que faciliten la manifestacion y la sustentabilidad de las emociones positivas; lograras entender las caracteristicas reflejadas en el Ego y la trascendencia del Ser; asi mismo, disenar acciones estrategicas que hagan realidad, en la cotidianidad, el mapa de conciencia de David Hawkins.",X,Introductorio,,identificar niveles vibraciones bajas neutralizar emociones negativas reconocer vibraciones altas aplicar herramientas faciliten manifestacion sustentabilidad emociones positivas lograras entender caracteristicas reflejadas ego trascendencia ser asi mismo diseñar acciones estrategicas hagan realidad cotidianidad mapa conciencia david hawkins,/fondoCartas/img2.jpg
69,Introduccion a los metodos computacionales para Ciencias Sociales,,Análisis de datos y computación Ciencias sociales," Reconocer los principales metodos computacionales para la analitica de contenidos sociales en entornos digitales, una de las areas de mayor demanda profesional en la actualidad.",X,Intermedio ,,reconocer principales metodos computacionales analitica contenidos sociales entornos digitales areas mayor demanda profesional actualidad,/fondoCartas/img9.jpg
70,Matematicas para la U,,Matemáticas,"Aprender a manejar los conceptos matematicos basicos (aritmetica, algebra, introduccion a las funciones) y establecer conexiones entre estos conceptos aplicandolos en situaciones concretas de la vida cotidiana.",X,Introductorio,,aprender manejar conceptos matematicos basicos (aritmetica algebra introduccion funciones) establecer conexiones conceptos aplicandolos situaciones concretas vida cotidiana,/fondoCartas/img4.jpg
71,Un viaje por Hispanoamerica: espanol inicial,,Ciencias humanas,"Iniciarte en el aprendizaje del espanol, obteniendo herramientas comunicativas basicas, mientras recorres la cultura hispanoamericana.",X,Introductorio,,iniciarte aprendizaje español obteniendo herramientas comunicativas basicas mientras recorres cultura hispanoamericana,/fondoCartas/img1.jpg
72,Estrategias de transformacion ante la crisis empresarial,,Economía y negocios,Aprender el proceso de transformacion que deben llevar a cabo las empresas para superar los momentos de adversidad que ponen en riesgo su continuidad.,X,Intermedio ,,aprender proceso transformacion deben llevar cabo empresas superar momentos adversidad ponen riesgo continuidad,/fondoCartas/img8.jpg
73,Agua y sales para una vida saludable,,Medicina y salud,"Comprender la importancia del agua y las sales en tu cuerpo, asi como implementar estrategias que te ayuden a conservar tu salud, mejorar tu atencion y tu rendimiento fisico y mental.",X,Introductorio ,,comprender importancia agua sales cuerpo asi implementar estrategias ayuden conservar salud mejorar atencion rendimiento fisico mental,/fondoCartas/img1.jpg
74,Educacion emocional para el bienestar personal,,Desarrollo personal Salud y seguridad,"Desarrollar competencias emocionales a traves de la educacion emocional que favorezcan herramientas para el manejo de aspectos individuales, relacionales y contextuales, que permitan alcanzar tus metas personales.",X,Introductorio ,,desarrollar competencias emocionales traves educacion emocional favorezcan herramientas manejo aspectos individuales relacionales contextuales permitan alcanzar metas personales,/fondoCartas/img3.jpg
75,Design Thinking y ODS: creando soluciones innovadoras,,Innovación y resolución de problemas Negocios y administración,"Identificar necesidades y crear soluciones innovadoras centradas en lo humano, en el marco de los objetivos de desarrollo sostenible (ODS).",X,Introductorio,,identificar necesidades crear soluciones innovadoras centradas humano marco objetivos desarrollo sostenible (ods),/fondoCartas/img2.jpg
76,"Incidencia politica desde las comunidades. ODS 16: Paz, justicia e instituciones solidas",,Ciencias humanas Ciencias sociales,Fortalecer habilidades organizativas que contribuyan al desarrollo de estrategias de incidencia y participacion politica mediante el dialogo y la articulacion de gobiernos locales a fin de incidir en las politicas publicas locales. ,X,Introductorio,,fortalecer habilidades organizativas contribuyan desarrollo estrategias incidencia participacion politica mediante dialogo articulacion gobiernos locales fin incidir politicas publicas locales,/fondoCartas/img4.jpg
77,Fisioterapia en el cancer infantil,,Medicina y salud,"Explorar el rol del fisioterapeuta y la importancia de este en la oncologia pediatrica, reconociendo las enfermedades mas comunes en esta poblacion y su intervencion, teniendo en cuenta los abordajes fisioterapeuticos mas adecuados y seguros.",X,Intermedio ,,explorar rol fisioterapeuta importancia oncologia pediatrica reconociendo enfermedades mas comunes poblacion intervencion cuenta abordajes fisioterapeuticos mas adecuados seguros,/fondoCartas/img4.jpg
78,Fundamentos de fotografia medica,,Medicina y salud,"Identificar los fundamentos de la fotografia medica, su utilidad y recomendaciones para capturar fotografias utiles para realizar el seguimiento de tratamientos medicos, verificar la evolucion de los pacientes y publicar resultados de investigacion en este campo.",X,Introductorio,,identificar fundamentos fotografia medica utilidad recomendaciones capturar fotografias utiles realizar seguimiento tratamientos medicos verificar evolucion pacientes publicar resultados investigacion campo,/fondoCartas/img10.jpg
79,Elementos matematicos para el pensamiento critico,,Matemáticas,"Identificar dos de los pilares de las matematicas que se usan frecuentemente, tanto en situaciones de la cotidianidad, como en los cursos de matematicas universitarias: la aritmetica y el algebra.",X,Introductorio,,identificar dos pilares matematicas usan frecuentemente situaciones cotidianidad cursos matematicas universitarias aritmetica algebra,/fondoCartas/img10.jpg
80,Ingles para todos: nivel basico,,Ciencias humanas Idiomas,Identificar las expresiones y estructuras mas basicas del ingles como  base fundamental del idioma.,X,Introductorio,,identificar expresiones estructuras mas basicas ingles base fundamental idioma,/fondoCartas/img10.jpg
81,"Orientacion para eleccion de carrera, conociendome decido",,Desarrollo personal Humanidades, Identificar herramientas que permitan mejorar la transicion de la educacion media a la superior a traves del reconocimiento de  posturas propias y claras del proyecto de vida profesional u ocupacional.,X,Introductorio ,,identificar herramientas permitan mejorar transicion educacion media superior traves reconocimiento posturas propias claras proyecto vida profesional ocupacional,/fondoCartas/img7.jpg
82,Fundamentos de programacion de computadores,,Análisis de datos y computación,"Identificar los conceptos basicos de programacion en lenguaje Python, asi como los conceptos basicos del paradigma de programacion orientada a objetos.",X,Introductorio ,,identificar conceptos basicos programacion lenguaje python asi conceptos basicos paradigma programacion orientada objetos,/fondoCartas/img4.jpg
83,Fundamentos de algebra lineal,,Análisis de datos y computación, Conocer el concepto de algebra lineal y aproximarse a los temas mas importantes que todo ingeniero o cientifico de datos deberia conocer.,X,Intermedio ,,conocer concepto algebra lineal aproximarse temas mas importantes ingeniero cientifico datos deberia conocer,/fondoCartas/img9.jpg
84,Probabilidad y estadistica,,Matemáticas,Comprender los conceptos teoricos fundamentales de la probabilidad junto con sus aplicaciones mas frecuentes en estadistica.  ,X,Intermedio ,,comprender conceptos teoricos fundamentales probabilidad junto aplicaciones mas frecuentes estadistica,/fondoCartas/img6.jpg
85,Bases de datos,,Análisis de datos y computación,"Comprender  los conceptos relacionados con el diseno y creacion de bases de datos, manipulacion y consulta de datos mediante diferentes enfoques.",X,Intermedio,,comprender conceptos relacionados diseño creacion bases datos manipulacion consulta datos mediante diferentes enfoques,/fondoCartas/img6.jpg
86,Introduccion a la optimizacion,,Análisis de datos y computación,"Conocer algunos de los conceptos mas importantes de la optimizacion, acercandose a los aspectos mas relevantes que seran utiles en diferentes campos tales como la ciencia de datos.",X,Intermedio ,,conocer conceptos mas importantes optimizacion acercandose aspectos mas relevantes seran utiles diferentes campos tales ciencia datos,/fondoCartas/img8.jpg
87,Redes de computadores,,Análisis de datos y computación,"Identificar los  fundamentos de  las redes de computadores, incluyendo su arquitectura, protocolos y los aspectos a considerar para hacerlas seguras.",X,Intermedio ,,identificar fundamentos redes computadores incluyendo arquitectura protocolos aspectos considerar hacerlas seguras,/fondoCartas/img8.jpg
88,Arquitectura indigena y afrodescendiente en America Latina y El Caribe,,"Arte, diseño y cultura","Interpretar los agentes basicos para la compresion de la arquitectura en las comunidades indigenas y afrodescendientes de America Latina y el Caribe, referentes para una reivindicacion de un legado vigente y consciente de la naturaleza y el ambiente desde el concepto de transmodernidad.",X,Introductorio ,,interpretar agentes basicos compresion arquitectura comunidades indigenas afrodescendientes america latina caribe referentes reivindicacion legado vigente consciente naturaleza ambiente concepto transmodernidad,/fondoCartas/img4.jpg
89,Arte indigena contemporaneo,,"Arte, diseño y cultura"," Reflexionar sobre los conceptos  contemporaneos de identidad,   resistencia,  genero,  ritual y  cuerpo, a traves de la creacion y experimentacion plastica y  el recorrido por diferentes practicas artisticas indigenas. ",X,Introductorio ,,reflexionar conceptos contemporaneos identidad resistencia genero ritual cuerpo traves creacion experimentacion plastica recorrido diferentes practicas artisticas indigenas,/fondoCartas/img9.jpg
90,Industrias creativas y culturales en Latinoamerica,,"Arte, diseño y cultura","Comprender las industrias creativas a traves  el contexto normativo general en Latinoamerica, pasando por las bases sobre las cuales se construyen sus modelos de negocio y algunas de las caracteristicas requeridas que puedan garantizar su sostenibilidad.",X,Introductorio ,,comprender industrias creativas traves contexto normativo general latinoamerica pasando bases cuales construyen modelos negocio caracteristicas requeridas puedan garantizar sostenibilidad,/fondoCartas/img10.jpg
91,Mercados laborales latinoamericanos,,Economía y negocios,Identificar  los conceptos basicos del mercado laboral con aplicacion en America Latina utilizando herramientas para desarrollar investigacion independiente en el mercado de trabajo y el analisis de indicadores.,X,Introductorio ,,identificar conceptos basicos mercado laboral aplicacion america latina utilizando herramientas desarrollar investigacion independiente mercado trabajo analisis indicadores,/fondoCartas/img5.jpg
92,Habilidades informacionales para la vida,,Ciencias humanas,"Identificar estrategias para la utilizacion y aprovechamiento de herramientas y recursos digitales en la busqueda, evaluacion, organizacion y comunicacion de informacion, asi como para el uso seguro de internet.",X,Introductorio ,,identificar estrategias utilizacion aprovechamiento herramientas recursos digitales busqueda evaluacion organizacion comunicacion informacion asi uso seguro internet,/fondoCartas/img4.jpg
93,Leer y escribir en la universidad,,Ciencias humanas,Identificar y aplicar  herramientas necesarias para la comprension de los textos  y la construccion de  escritos academicos idoneos. ,X,Introductorio ,,identificar aplicar herramientas necesarias comprension textos construccion escritos academicos idoneos,/fondoCartas/img7.jpg
94,Inteligencia emocional herramienta clave para emprender,,Innovación y resolución de problemas,Conocer y gestionar adecuadamente las emociones en los contextos de emprendimiento.  ,X,Introductorio,,conocer gestionar adecuadamente emociones contextos emprendimiento,/fondoCartas/img4.jpg
95,Manejo del estres desde la neurociencia,,Desarrollo personal Medicina,"Adquirir estrategias para comprender, prevenir, controlar y aprovechar el estres en beneficio de la calidad de vida y el desempeno.",X,Introductorio ,,adquirir estrategias comprender prevenir controlar aprovechar estres beneficio calidad vida desempeño,/fondoCartas/img6.jpg
96,Habilidades de gestion emocional para el aprendizaje,,Desarrollo personal,"Reflexionar y analizar sobre las propias emociones, asi mismo esta orientado a crear un espacio de conceptualizacion, reflexion y puesta en practica de habilidades cognitivas y metacognitivas para reconocer la implicacion de la gestion emocional en la ejecucion de una tarea especifica dentro del proceso aprendizaje y por ende la identificacion emocional.",X,Introductorio ,,reflexionar analizar propias emociones asi mismo orientado crear espacio conceptualizacion reflexion puesta practica habilidades cognitivas metacognitivas reconocer implicacion gestion emocional ejecucion tarea especifica dentro proceso aprendizaje ende identificacion emocional,/fondoCartas/img6.jpg
97,Analisis exploratorio de datos con Python / R,,Análisis de datos y computación,Identificar los aspectos basicos de la estadistica y en las principales librerias de Python y R para el analisis exploratorio de datos y el manejo de bases de datos.,X,Introductorio ,,identificar aspectos basicos estadistica principales librerias python analisis exploratorio datos manejo bases datos,/fondoCartas/img8.jpg
98,Conflictos sociales a traves de la novela grafica contemporanea,,Ciencias sociales,"Reconocer la novela grafica, desde una mirada personal y subjetiva,  algunos conflictos sociales que se sustenta en la investigacion y en el testimonio documental.",X,Introductorio,,reconocer novela grafica mirada personal subjetiva conflictos sociales sustenta investigacion testimonio documental,/fondoCartas/img10.jpg
99,Economia del comportamiento para una gestion publica efectiva,,Economía y negocios,"Comprender los conceptos basicos de la economia del comportamiento para gestores en el sector publico en paises de la region, contribuyendo al logro de objetivos de politica publica mediante la incorporacion de estas herramientas en el  trabajo cotidiano.",X,Intermedio,,comprender conceptos basicos economia comportamiento gestores sector publico paises region contribuyendo logro objetivos politica publica mediante incorporacion herramientas trabajo cotidiano,/fondoCartas/img7.jpg
100,"Psicologia positiva: felicidad, cultura y memes",,Desarrollo personal,Identificar los fundamentos de la felicidad y su relacion con el sentido del humor y la cultura.,X,Introductorio,,identificar fundamentos felicidad relacion sentido humor cultura,/fondoCartas/img5.jpg
101,Principios de economia,,Economía y negocios,"Identificar  los conceptos basicos de la economia y sus aplicaciones, comprendiendo el funcionamiento del mercado y la toma de decisiones de los individuos.",X,Introductorio,,identificar conceptos basicos economia aplicaciones comprendiendo funcionamiento mercado toma decisiones individuos,/fondoCartas/img10.jpg
102,Mercados laborales incluyentes,,Economía y negocios,"Analizar las politicas publicas referentes a la inclusion laboral desde un enfoque de diferencias entre grupos, cambios en la estructura salarial, desigualdad, inversion en desarrollo humano, movilidad y migracion.",X,Intermedio,,analizar politicas publicas referentes inclusion laboral enfoque diferencias grupos cambios estructura salarial desigualdad inversion desarrollo humano movilidad migracion,/fondoCartas/img8.jpg
103,Innovar el curriculo desde la internacionalizacion,,Ciencias humanas Formación docente,Identificar  conceptos y estrategias que le permitan al profesor internacionalizar su asignatura y lograr aprendizajes mas significativos en sus estudiantes.,X,Introductorio,,identificar conceptos estrategias permitan profesor internacionalizar asignatura lograr aprendizajes mas significativos estudiantes,/fondoCartas/img9.jpg
104,"Revolucion 4.0: implicaciones eticas, laborales y educativas",,Ciencias humanas Formación docente,Reconocer la incidencia de la Revolucion ,X,Introductorio ,,reconocer incidencia revolucion,/fondoCartas/img2.jpg
105,Gestion del talento humano en organizaciones no lucrativas,,Humanidades Administración y negocios,"Comprender los conceptos fundamentales para la gestion de talento humano, la motivacion de equipos y la gestion por competencias en entidades no lucrativas o tambien llamadas Tercer Sector.",X,Intermedio ,,comprender conceptos fundamentales gestion talento humano motivacion equipos gestion competencias entidades lucrativas tambien llamadas tercer sector,/fondoCartas/img10.jpg
106,Arquitectura latinoamericana contemporanea,,"Arte, diseño y cultura","Analizar arquitecturas contemporaneas hechas en latinoamerica a partir del reconocimiento de ejemplos arquitectonicos, utilizando herramientas para el analisis de las variables e intenciones detras de cada edificacion. ",X,Introductorio ,,analizar arquitecturas contemporaneas hechas latinoamerica partir reconocimiento ejemplos arquitectonicos utilizando herramientas analisis variables intenciones detras cada edificacion,/fondoCartas/img10.jpg
107,Ingles para todos: nivel basico mas.,,Idiomas,"Identificar las maneras de expresar ideas y expresiones cortas en ingles, mediante la comprension de la estructura basica de una oracion simple. ",X,Introductorio ,,identificar maneras expresar ideas expresiones cortas ingles mediante comprension estructura basica oracion simple,/fondoCartas/img8.jpg
108,Artefactos decoloniales e innovacion desde la otra orilla.,,"Arte, diseño y cultura","Comprender la innovacion en un sentido contemporaneo y decolonial, desde las tecnologias de garaje colaterales o perifericas, poniendo en relevancia la innovacion social mediante las herramientas de mapeo evidenciando manifestaciones de tecnologias en tu contexto mas cercano.",X,Introductorio ,,comprender innovacion sentido contemporaneo decolonial tecnologias garaje colaterales perifericas poniendo relevancia innovacion social mediante herramientas mapeo evidenciando manifestaciones tecnologias contexto mas cercano,/fondoCartas/img5.jpg
109,"Fotografia en Latinoamerica: historia, imagenes y espacios",,"Arte, diseño y cultura","Interpretar el fenomeno visual de las fotografias hechoas en latinoamerica desde una perspectiva cultural, politica y estetica. ",X,Introductorio ,,interpretar fenomeno visual fotografias hechoas latinoamerica perspectiva cultural politica estetica,/fondoCartas/img2.jpg
110,Comer para pensar: elecciones y alternativas para la alimentacion consciente,,Historia Ciencias  sociales  Alimentación y nutrición,"Identificar  origen, procedencia, historia, aporte nutricional y cultural de los alimentos para tomar decisiones informadas de consumo.",X,Introductorio,,identificar origen procedencia historia aporte nutricional cultural alimentos tomar decisiones informadas consumo,/fondoCartas/img3.jpg
111,Fundamentos de contabilidad y matematicas financieras,,Economía y negocios,"Reconoce los fundamentos de las matematicas financieras, el analisis economico y financiero de las empresas, la evaluacion de alternativas de inversion y la estadistica financiera para la comprension y desarrollo adecuado de las finanzas.",X,Avanzado,,reconoce fundamentos matematicas financieras analisis economico financiero empresas evaluacion alternativas inversion estadistica financiera comprension desarrollo adecuado finanzas,/fondoCartas/img6.jpg
112,Valoracion de activos,,Economía y negocios,"Comprender los fundamentos de las matematicas financieras, el analisis economico y financiero de empresas, la evaluacion de alternativas de inversion y la estadistica financiera. ",X,Avanzado,,comprender fundamentos matematicas financieras analisis economico financiero empresas evaluacion alternativas inversion estadistica financiera,/fondoCartas/img6.jpg
113,Macroeconomia de los mercados,,Economía y negocios,Analizar los  principales elementos constitutivos de la economia contemporanea para realizar un analisis critico y riguroso con el proposito de tomar decisiones tacticas y estrategicas que inciden en el ambito financiero y bursatil.,X,Avanzado,,analizar principales elementos constitutivos economia contemporanea realizar analisis critico riguroso proposito tomar decisiones tacticas estrategicas inciden ambito financiero bursatil,/fondoCartas/img1.jpg
114,Finanzas corporativas,,Economía y negocios,"Reconocer  los conceptos basicos de las finanzas corporativas, valor economico, analisis financieros, diagnosticos financieros y el objetivo basico financiero, para relacionar la estrategia organizacional y el desempeno financiero de una firma.",X,Avanzado,,reconocer conceptos basicos finanzas corporativas valor economico analisis financieros diagnosticos financieros objetivo basico financiero relacionar estrategia organizacional desempeño financiero firma,/fondoCartas/img3.jpg
115,Metodos de investigacion cuantitativos,,Derecho y ciencias políticas,"Comprender las diferentes aproximaciones de la metodologia cuantitativa, sus caracteristicas y aplicaciones clinicas a traves de herramienras estaditias y epidemiologicas para analizar la informacion resultante de los procesos de investigacion.",X,Avanzado,,comprender diferentes aproximaciones metodologia cuantitativa caracteristicas aplicaciones clinicas traves herramienras estaditias epidemiologicas analizar informacion resultante procesos investigacion,/fondoCartas/img3.jpg
116,Bioestadistica,,Medicina y salud,"Comprender los conceptos y metodos basicos de la bioestadistica aplicada a la investigacion a traves de la exploracion, organizacion y presentacion de datos usando R.",X,Avanzado,,comprender conceptos metodos basicos bioestadistica aplicada investigacion traves exploracion organizacion presentacion datos usando,/fondoCartas/img4.jpg
